region	country	station	stationName	latitude	longitude	determinand	detGroup	meanLY	HQS	Contamination ratio	Matrix
Kattegat	Denmark	LIM-3718-2	Langerak Mou Havn	56.98602	10.22758	PB	Metals	163.1577698	185.9	0.877664173	Biota
Kattegat	Denmark	LIM-3718-2	Langerak Mou Havn	56.98602	10.22758	BAP	PAH (parent)	1.444453411	5	0.288890682	Biota
Kattegat	Denmark	LIM-3718-2	Langerak Mou Havn	56.98602	10.22758	FLU	PAH (parent)	1.917670609	30	0.063922354	Biota
Kattegat	Denmark	LIM-3720-1	Limfjorden Venoe Bay	56.5235	8.6745	CD	Metals	92.30499385	137.28	0.672384862	Biota
Kattegat	Denmark	LIM-3720-1	Limfjorden Venoe Bay	56.5235	8.6745	HG	Metals	13.11653501	20	0.65582675	Biota
Kattegat	Denmark	LIM-3720-1	Limfjorden Venoe Bay	56.5235	8.6745	PB	Metals	116.8778871	185.9	0.628713755	Biota
Kattegat	Denmark	LIM-3720-1	Limfjorden Venoe Bay	56.5235	8.6745	BAP	PAH (parent)	0.387298335	5	0.077459667	Biota
Kattegat	Denmark	LIM-3720-1	Limfjorden Venoe Bay	56.5235	8.6745	FLU	PAH (parent)	2.9563491	30	0.09854497	Biota
Kattegat	Denmark	LIM-3722-1	Limfjorden Visby Bredning	56.7745	8.51617	CD	Metals	71.944	137.28	0.524067599	Biota
Kattegat	Denmark	LIM-3722-1	Limfjorden Visby Bredning	56.7745	8.51617	HG	Metals	13.5424	20	0.67712	Biota
Kattegat	Denmark	LIM-3722-1	Limfjorden Visby Bredning	56.7745	8.51617	PB	Metals	148.12	185.9	0.796772458	Biota
Kattegat	Denmark	LIM-3722-1	Limfjorden Visby Bredning	56.7745	8.51617	BAP	PAH (parent)	1	5	0.2	Biota
Kattegat	Denmark	LIM-3722-1	Limfjorden Visby Bredning	56.7745	8.51617	FLU	PAH (parent)	4.5	30	0.15	Biota
Kattegat	Denmark	LIM-3723-2	Limfjorden Thisted Bredning	56.91167	8.81533	CD	Metals	80.32597607	137.28	0.585125117	Biota
Kattegat	Denmark	LIM-3723-2	Limfjorden Thisted Bredning	56.91167	8.81533	HG	Metals	7.695165277	20	0.384758264	Biota
Kattegat	Denmark	LIM-3723-2	Limfjorden Thisted Bredning	56.91167	8.81533	PB	Metals	68.22984684	185.9	0.367024459	Biota
Kattegat	Denmark	LIM-3723-2	Limfjorden Thisted Bredning	56.91167	8.81533	BAP	PAH (parent)	0.5	5	0.1	Biota
Kattegat	Denmark	LIM-3723-2	Limfjorden Thisted Bredning	56.91167	8.81533	FLU	PAH (parent)	1.888915032	30	0.062963834	Biota
Kattegat	Denmark	LIM-3726-1	Langerak Risgaarde Bredning	56.7495	9.16933	CD	Metals	121.9629138	137.28	0.888424489	Biota
